법정동코드,법정동명,폐지여부
4711125324,경상북도 포항시 남구 연일읍 오천리,존재
4711125325,경상북도 포항시 남구 연일읍 유강리,존재
4711125326,경상북도 포항시 남구 연일읍 자명리,존재
4711125327,경상북도 포항시 남구 연일읍 학전리,존재
4711125328,경상북도 포항시 남구 연일읍 달전리,존재
4711125329,경상북도 포항시 남구 연일읍 중명리,존재
4711125330,경상북도 포항시 남구 연일읍 중단리,존재
4711125331,경상북도 포항시 남구 연일읍 택전리,존재
4711125332,경상북도 포항시 남구 연일읍 인주리,존재
4711125333,경상북도 포항시 남구 연일읍 우복리,존재
4711125600,경상북도 포항시 남구 오천읍,존재
4711125621,경상북도 포항시 남구 오천읍 원리,존재
4711125622,경상북도 포항시 남구 오천읍 문덕리,존재
4711125623,경상북도 포항시 남구 오천읍 항사리,존재
4711125624,경상북도 포항시 남구 오천읍 진전리,존재
4711125625,경상북도 포항시 남구 오천읍 갈평리,존재
4711125626,경상북도 포항시 남구 오천읍 문충리,존재
4711125627,경상북도 포항시 남구 오천읍 용산리,존재
4711125628,경상북도 포항시 남구 오천읍 광명리,존재
4711125629,경상북도 포항시 남구 오천읍 세계리,존재
4711125630,경상북도 포항시 남구 오천읍 용덕리,존재
4711125631,경상북도 포항시 남구 오천읍 구정리,존재
4711131000,경상북도 포항시 남구 대송면,존재
4711131021,경상북도 포항시 남구 대송면 공수리,존재
4711131022,경상북도 포항시 남구 대송면 장동리,존재
4711131023,경상북도 포항시 남구 대송면 홍계리,존재
4711131024,경상북도 포항시 남구 대송면 산여리,존재
4711131025,경상북도 포항시 남구 대송면 대각리,존재
4711131026,경상북도 포항시 남구 대송면 송동리,존재
4711131027,경상북도 포항시 남구 대송면 제내리,존재
4711131028,경상북도 포항시 남구 대송면 옥명리,존재
4711131029,경상북도 포항시 남구 대송면 남성리,존재
4711132000,경상북도 포항시 남구 동해면,존재
4711132021,경상북도 포항시 남구 동해면 도구리,존재
4711132022,경상북도 포항시 남구 동해면 약전리,존재
4711132023,경상북도 포항시 남구 동해면 금광리,존재
4711132024,경상북도 포항시 남구 동해면 신정리,존재
4711132025,경상북도 포항시 남구 동해면 석리,존재
4711132026,경상북도 포항시 남구 동해면 임곡리,존재
4711132027,경상북도 포항시 남구 동해면 입암리,존재
4711132028,경상북도 포항시 남구 동해면 마산리,존재
4711132029,경상북도 포항시 남구 동해면 흥환리,존재
4711132030,경상북도 포항시 남구 동해면 중흥리,존재
4711132031,경상북도 포항시 남구 동해면 발산리,존재
4711132032,경상북도 포항시 남구 동해면 상정리,존재
4711132033,경상북도 포항시 남구 동해면 중산리,존재
